,year,ISO2 Code,BCAXF_BP6_USD,FASMB_XDC,NGDP_R_K_IX
0,1990-Q1,BD,-210.025886911642,,
1,1990-Q2,BD,-94.8841369909694,,
2,1990-Q3,BD,-47.7725922783199,,
3,1990-Q4,BD,-45.2269604180136,,
4,1991-Q1,BD,-200.64263760827,,
5,1991-Q2,BD,144.258172673931,,
6,1991-Q3,BD,83.6088573728058,,
7,1991-Q4,BD,37.3688408909616,,
8,1992-Q1,BD,85.5345501339673,,
9,1992-Q2,BD,7.48717948717945,,
10,1992-Q3,BD,63.8974358974359,,
11,1992-Q4,BD,23.8717948717949,,
12,1993-Q1,BD,179.435897435897,,
13,1993-Q2,BD,-154.242424242424,,
14,1993-Q3,BD,180.434509606932,,
15,1993-Q4,BD,153.635654913694,,
16,1994-Q1,BD,17.2831071884341,,
17,1994-Q2,BD,-69.7391304347827,,
18,1994-Q3,BD,221.714285714286,,
19,1994-Q4,BD,30.3105590062112,,
20,1995-Q1,BD,-180.383052814858,,
21,1995-Q2,BD,-221.097311994342,,
22,1995-Q3,BD,-127.741615279894,,
23,1995-Q4,BD,-294.658216547032,,
24,1996-Q1,BD,-377.501220107369,,
25,1996-Q2,BD,-226.458583433373,,
26,1996-Q3,BD,-109.367320503023,,
27,1996-Q4,BD,-278.091850954704,,
28,1997-Q1,BD,-95.5530320108514,,
29,1997-Q2,BD,-65.0947622906202,,
30,1997-Q3,BD,71.2410510636228,,
31,1997-Q4,BD,-196.906209983997,,
32,1998-Q1,BD,-94.8134665111578,,
33,1998-Q2,BD,4.12527086938892,,
34,1998-Q3,BD,14.0882501019255,,
35,1998-Q4,BD,41.4339561945595,,
36,1999-Q1,BD,-228.907216494845,,
37,1999-Q2,BD,-216.20618556701,,
38,1999-Q3,BD,168.885211593215,,
39,1999-Q4,BD,-88.1271237257647,,
40,2000-Q1,BD,116.392156862745,,
41,2000-Q2,BD,-210,,
42,2000-Q3,BD,-47.5015852885225,,
43,2000-Q4,BD,-164.722222222222,,
44,2001-Q1,BD,-441.944444444444,,
45,2001-Q2,BD,-198.708353452438,,
46,2001-Q3,BD,139.122807017544,,
47,2001-Q4,BD,-33.8947368421053,220536,
48,2002-Q1,BD,178.973933485446,219167,
49,2002-Q2,BD,113.488773747841,232350,
50,2002-Q3,BD,529.101899827288,221572,
51,2002-Q4,BD,-82.314335060449,227666,
52,2003-Q1,BD,-117.357512953368,232248,
53,2003-Q2,BD,-131.968911917099,239952,
54,2003-Q3,BD,307.871617346972,239860,
55,2003-Q4,BD,73.0924395328515,243339,
56,2004-Q1,BD,221.219114852023,248899,
57,2004-Q2,BD,-278.706800445931,235252,
58,2004-Q3,BD,156.357438345088,239825,
59,2004-Q4,BD,-377.549136496694,246705,
60,2005-Q1,BD,-421.081976614522,257572,
61,2005-Q2,BD,-4.21358251468063,270384,
62,2005-Q3,BD,138.740902235919,276415,
63,2005-Q4,BD,112.813120940322,307867,
64,2006-Q1,BD,250.108075934323,310314,
65,2006-Q2,BD,208.171943998418,335569,
66,2006-Q3,BD,455.007061444705,354031,
67,2006-Q4,BD,282.776001628267,412692,
68,2007-Q1,BD,93.8669635380729,386969,
69,2007-Q2,BD,292.238241593857,389983,
70,2007-Q3,BD,24.6182352658407,411195,
71,2007-Q4,BD,446.069194607405,463471,
72,2008-Q1,BD,350.525104756054,414998,
73,2008-Q2,BD,366.299654115136,471019,
74,2008-Q3,BD,314.341215945031,541926,
75,2008-Q4,BD,-104.980536253501,544470,
76,2009-Q1,BD,605.770806751608,528153,
77,2009-Q2,BD,1288.77503718154,622707,
78,2009-Q3,BD,1448.03069794382,674244,
79,2009-Q4,BD,213.549852169665,646886,
80,2010-Q1,BD,882.468043524828,632034,
81,2010-Q2,BD,774.710211149055,736247,
82,2010-Q3,BD,608.049421631167,763339,
83,2010-Q4,BD,-156.725139563383,814820,
84,2011-Q1,BD,-53.7666033624083,816362,
85,2011-Q2,BD,345.807099150551,891230,
86,2011-Q3,BD,173.869970368966,898477,
87,2011-Q4,BD,-627.753004835934,918636,
88,2012-Q1,BD,468.548398788037,912820,
89,2012-Q2,BD,1050.04569081085,971069,
90,2012-Q3,BD,297.29575326758,992366,
91,2012-Q4,BD,759.610837744022,1062633,
92,2013-Q1,BD,1156.41880650781,1074550,
93,2013-Q2,BD,-352.098296783241,1117507,
94,2013-Q3,BD,411.017538823325,1132408,
95,2013-Q4,BD,843.135371882969,1204540,
96,2014-Q1,BD,160.773689613387,1209443,
97,2014-Q2,BD,-376.486427195495,1291042,
98,2014-Q3,BD,971.529238671708,1428389,
99,2014-Q4,BD,-0.0257394294593465,1383487,
100,2015-Q1,BD,872.317068521912,1390582,
101,2015-Q2,BD,26.9023136246787,1476901,
102,2015-Q3,BD,1693.3540302682,1618511,
103,2015-Q4,BD,-12.9524036385834,1594172,
104,2016-Q1,BD,1218.5754916546,1610929,
105,2016-Q2,BD,686.632653061224,1916248,
106,2016-Q3,BD,324.885204081632,1882459,
107,2016-Q4,BD,-1298.69948081034,1899611,
108,2017-Q1,BD,-900.8915743572,1910887,
109,2017-Q2,BD,-234.695461666117,2231189,
110,2017-Q3,BD,-1792.66613483799,2137163,
111,2017-Q4,BD,-3056.73930477021,2154482,
112,2018-Q1,BD,-2259.59481585609,2107230,
113,2018-Q2,BD,-2546.19414314642,2322137,
114,2018-Q3,BD,-1358.84487510871,2269618,
115,2018-Q4,BD,-1428.23965879838,2331299,
116,2019-Q1,BD,-1088.42935881677,2235618,
117,2019-Q2,BD,-264.008945299994,2446589,
118,2019-Q3,BD,,2456525,
119,1990-Q1,BO,-52,,44.038918909408
120,1990-Q2,BO,-60.2,,48.193788240884
121,1990-Q3,BO,-25.7,,48.2927793287594
122,1990-Q4,BO,-61,,49.0441226387596
123,1991-Q1,BO,-14.4,,45.1462828346842
124,1991-Q2,BO,-76.2,,51.77715327694
125,1991-Q3,BO,-42.8,,50.9374059308643
126,1991-Q4,BO,-129.2,,51.6924936369744
127,1992-Q1,BO,-109.3,,46.5941589719341
128,1992-Q2,BO,-155.6,,52.7802803902243
129,1992-Q3,BO,-131.7,,51.115725362301
130,1992-Q4,BO,-137.3,,52.3488154343027
131,1993-Q1,BO,-128.9,,48.4964495210148
132,1993-Q2,BO,-142.8,,55.8972517350464
133,1993-Q3,BO,-91.2,,52.802894062063
134,1993-Q4,BO,-142.6,,54.3021799545421
135,1994-Q1,BO,-8.8,,51.3357114665848
136,1994-Q2,BO,-35.8,,56.8441723731801
137,1994-Q3,BO,11.1,,57.063715440895
138,1994-Q4,BO,-56.7,,56.1263854901736
139,1995-Q1,BO,-113.8,,54.0348892606411
140,1995-Q2,BO,-97.8,,59.5011166099925
141,1995-Q3,BO,-41.9,,58.7791311296315
142,1995-Q4,BO,-49,,59.4111404551255
143,1996-Q1,BO,-70.88,,55.9987516696344
144,1996-Q2,BO,-105.33,,62.8842306022653
145,1996-Q3,BO,-76.6,,61.2525996589974
146,1996-Q4,BO,-151.48,,61.6970760567858
147,1997-Q1,BO,-161.63,,58.6910940992715
148,1997-Q2,BO,-93.23,,66.4692563379881
149,1997-Q3,BO,-110.22,,63.6591240441507
150,1997-Q4,BO,-188.42,,64.9940780879537
151,1998-Q1,BO,-189.7,,62.6541851513421
152,1998-Q2,BO,-212,,69.7510007103272
153,1998-Q3,BO,-130.4,,66.6409179735837
154,1998-Q4,BO,-134,,67.5326339189694
155,1999-Q1,BO,-194.6,,63.1193170331733
156,1999-Q2,BO,-59.4,,69.1288423397526
157,1999-Q3,BO,-74.2,,66.1131579474279
158,1999-Q4,BO,-159.8,,69.3554060477553
159,2000-Q1,BO,-187.48699622,,64.4395726919516
160,2000-Q2,BO,-134.33906757,,72.473566025013
161,2000-Q3,BO,-62.96204616,,66.7875136094849
162,2000-Q4,BO,-61.56179402,,70.7299004473372
163,2001-Q1,BO,-82.3346887759,,64.4347942561191
164,2001-Q2,BO,-93.4481642719,,73.1278641595366
165,2001-Q3,BO,-33.285506245618,,68.5181164017932
166,2001-Q4,BO,-64.943170734862,7394.5264242228,72.9706369533114
167,2002-Q1,BO,-94.04253269,6214.4821401281,65.3254621170691
168,2002-Q2,BO,-106.18302287,6535.5187220275,75.9517191826045
169,2002-Q3,BO,-89.847795026678,6427.9073030765,71.0806837000827
170,2002-Q4,BO,-61.8595303514315,7412.425891454,73.6295532690242
171,2003-Q1,BO,-54.17745285,6746.8467051974,67.4927199216443
172,2003-Q2,BO,-17.60919579,7303.4596030496,78.4146890068231
173,2003-Q3,BO,64.6376087922966,7219.0227535435,71.7219988850305
174,2003-Q4,BO,82.7439272643668,8210.1206601606,76.1121012417359
175,2004-Q1,BO,56.6796199653267,7292.658809412,70.4530792484436
176,2004-Q2,BO,99.95948475928,7771.0676777816,81.2742039155534
177,2004-Q3,BO,157.113203701162,8047.7455542582,76.1351049604519
178,2004-Q4,BO,23.7471429053384,9438.215254988,78.1378222890628
179,2005-Q1,BO,107.286752801383,8654.29029376023,73.5881242117578
180,2005-Q2,BO,145.262214272063,7262.70679031758,84.505171147698
181,2005-Q3,BO,180.03860368744,8538.63040591271,79.0330017759084
182,2005-Q4,BO,189.851603146766,11018.822934475,82.4035078671524
183,2006-Q1,BO,185.635467543668,10846.7170133474,76.8362103613134
184,2006-Q2,BO,261.685469856798,12815.2494667053,87.7721619191999
185,2006-Q3,BO,484.284419837848,14187.7145043548,83.569188354641
186,2006-Q4,BO,385.866959323988,16024.0603214486,86.680117035754
187,2007-Q1,BO,288.240775712852,15786.8296285363,78.7745102758601
188,2007-Q2,BO,347.757558994253,17380.7947609441,91.3615332420251
189,2007-Q3,BO,456.092944940973,20528.7589963699,88.0341043641911
190,2007-Q4,BO,499.154867665681,23532.9780174446,91.9717216676614
191,2008-Q1,BO,553.232811756976,23505.4221182054,83.9372127744604
192,2008-Q2,BO,487.94416254883,25947.7302136169,97.6523864711709
193,2008-Q3,BO,554.492086662552,28727.2885044237,94.2526821633951
194,2008-Q4,BO,397.03,28695.3542463276,95.8280533224589
195,2009-Q1,BO,178.83,26656.4697012985,86.412314064001
196,2009-Q2,BO,283.19,27704.5311180633,99.8004851194697
197,2009-Q3,BO,295.18,30683.7827024227,97.6718836270157
198,2009-Q4,BO,56.34,35109.9339123453,100.262622939282
199,2010-Q1,BO,211.074951603944,37146.8712428619,89.1953449606414
200,2010-Q2,BO,253.706283654629,36001.0302322683,103.574827017364
201,2010-Q3,BO,292.828148681705,36045.5122,101.295964420566
202,2010-Q4,BO,116.136286154288,40580.7630389477,105.933863601428
203,2011-Q1,BO,143.733955096928,42298.438909043,94.7075484934816
204,2011-Q2,BO,336.995443886973,41639.221708365,107.985847147136
205,2011-Q3,BO,111.982588840703,46561.3108533146,106.587278512474
206,2011-Q4,BO,-55.5070524839185,53669.7820005422,111.535695079385
207,2012-Q1,BO,33.9208102496667,52909.5866658456,99.4522348012791
208,2012-Q2,BO,561.730320194789,52342.2764159352,112.724525193178
209,2012-Q3,BO,762.561616107904,55250.7947781172,111.482651569348
210,2012-Q4,BO,611.826363664189,63884.0966276346,118.712332574655
211,2013-Q1,BO,553.922856790212,59564.405670572,106.266419913033
212,2013-Q2,BO,307.62837507656,61484.56518617,120.709282943777
213,2013-Q3,BO,341.446740716942,63875.2415133736,119.61281492217
214,2013-Q4,BO,-149.015555462633,70220.6021212273,125.846859819205
215,2014-Q1,BO,316.827462282997,62346.9572126149,112.547087124346
216,2014-Q2,BO,584.692404681801,63621.792300734,126.498324527268
217,2014-Q3,BO,68.5258279972657,65671.2450608837,126.820290855702
218,2014-Q4,BO,-399.636346376397,74704.9610391713,132.367338059008
219,2015-Q1,BO,-492.212281981715,66980.8668259812,117.95427397238
220,2015-Q2,BO,-244.399778095376,70413.9414315624,133.142392788502
221,2015-Q3,BO,-429.408531818106,72658.8122051603,131.805163869334
222,2015-Q4,BO,-770.188801503151,82980.2633413748,139.531321570369
223,2016-Q1,BO,-538.637277865938,71139.4277945862,124.268592119145
224,2016-Q2,BO,-448.798390270541,68934.317732235,137.447891753941
225,2016-Q3,BO,-271.561296055552,69555.7422476953,138.318832536361
226,2016-Q4,BO,-648.247290572626,71109.7831911356,144.673971830058
227,2017-Q1,BO,-703.313491939431,63871.9278764508,128.421824273925
228,2017-Q2,BO,-311.037416492363,68208.513045509,142.653916643242
229,2017-Q3,BO,-371.432237319261,71533.9333510176,144.238808051435
230,2017-Q4,BO,-485.132925315418,78272.5034988717,152.246417653628
231,2018-Q1,BO,-406.652743875848,72729.2376664255,134.122157486132
232,2018-Q2,BO,-276.109796611295,78013.0302687079,148.978919847588
233,2018-Q3,BO,-254.334837389784,75923.1831289371,148.979807064551
234,2018-Q4,BO,-1052.50080555926,81495.4657148036,
235,2019-Q1,BO,,75272.8647484453,
236,2019-Q2,BO,,83088.3654654645,
237,2019-Q3,BO,,80911.4030078199,
238,1990-Q1,BR,-2722,,
239,1990-Q2,BR,1711,,
240,1990-Q3,BR,-464,,
241,1990-Q4,BR,-2348,,
242,1991-Q1,BR,28,,
243,1991-Q2,BR,975,,
244,1991-Q3,BR,-1496,,
245,1991-Q4,BR,-957,,
246,1992-Q1,BR,1243,,
247,1992-Q2,BR,2433,,
248,1992-Q3,BR,447,,
249,1992-Q4,BR,1966,,
250,1993-Q1,BR,-87,,
251,1993-Q2,BR,291,,
252,1993-Q3,BR,116,,
253,1993-Q4,BR,-300,,
254,1994-Q1,BR,548,,
255,1994-Q2,BR,1426,,
256,1994-Q3,BR,2151,,
257,1994-Q4,BR,-5278,,
258,1995-Q1,BR,-5662,,
259,1995-Q2,BR,-6371,,
260,1995-Q3,BR,-1979,,
261,1995-Q4,BR,-4124,,
262,1996-Q1,BR,-3451,,60.6606930661689
263,1996-Q2,BR,-4154,,62.715160406334
264,1996-Q3,BR,-5739,,67.3770449625352
265,1996-Q4,BR,-9904,,65.3429608862247
266,1997-Q1,BR,-4944,,62.7235034167337
267,1997-Q2,BR,-7659,,65.6966405587465
268,1997-Q3,BR,-7035,,68.5839561273232
269,1997-Q4,BR,-10853,,67.7858192528326
270,1998-Q1,BR,-6006,,63.3554896486761
271,1998-Q2,BR,-7332,,66.6884320860262
272,1998-Q3,BR,-9062,,68.8278404400166
273,1998-Q4,BR,-11429,,66.8134063188396
274,1999-Q1,BR,-5495,,63.8418490805641
275,1999-Q2,BR,-7124,,66.4211854206179
276,1999-Q3,BR,-4944,,68.403700524702
277,1999-Q4,BR,-7837,,68.2616742200705
278,2000-Q1,BR,-3985.52275831527,,66.6513404777257
279,2000-Q2,BR,-6992.73774770582,,69.063691292144
280,2000-Q3,BR,-4364.05478197306,,71.526048388038
281,2000-Q4,BR,-8882.21437311334,,71.4000126995463
282,2001-Q1,BR,-6667.7340147079,,68.9675347576127
283,2001-Q2,BR,-6673.16717123851,,70.6701510122866
284,2001-Q3,BR,-4092.68209079848,,71.8559234583061
285,2001-Q4,BR,-5780.94572356212,197942,71.0203061394708
286,2002-Q1,BR,-3247.50424807183,181072,69.2964541344708
287,2002-Q2,BR,-5145.80599598711,183291,72.2942942191856
288,2002-Q3,BR,996.902012348761,193151,74.8556991699849
289,2002-Q4,BR,-240.22111924622,195615,74.6939225425371
290,2003-Q1,BR,162.56845309318,173807,71.1446102369987
291,2003-Q2,BR,434.98573928829,154634,72.8590878720292
292,2003-Q3,BR,3315.20023099014,143664,75.3244311194318
293,2003-Q4,BR,264.53406906011,160771,75.1336545844784
294,2004-Q1,BR,1657.91872499917,147520,73.9036568296685
295,2004-Q2,BR,2754.77996931959,151429,77.455226094915
296,2004-Q3,BR,5306.84680913523,149212,80.2648148430505
297,2004-Q4,BR,2018.05152537809,168345,79.7989806732839
298,2005-Q1,BR,2656.79217079436,159229,76.9960233258452
299,2005-Q2,BR,2591.92733516697,158228,80.9213257479386
300,2005-Q3,BR,5670.03712536633,161632,81.962393868024
301,2005-Q4,BR,3065.53384687765,181385,81.5150987946665
302,2006-Q1,BR,1623.90231408686,169329,80.2907576531499
303,2006-Q2,BR,1138.49574930499,177240,82.7690002772387
304,2006-Q3,BR,7489.00898732094,185339,85.6447904913503
305,2006-Q4,BR,3368.3261991528,204249,85.4239206870791
306,2007-Q1,BR,240.58353693444,192530,84.4616141896022
307,2007-Q2,BR,2180.61047678268,204273,88.17982259131
308,2007-Q3,BR,1125.22378124899,215343,90.6723554014042
309,2007-Q4,BR,-1995.6327032512,248840,91.0958426783455
310,2008-Q1,BR,-10260.3004327751,234086,89.662257419215
311,2008-Q2,BR,-6610.73817342358,245631.042063946,93.7670054398188
312,2008-Q3,BR,-6012.76796439362,254906,97.0020213862335
313,2008-Q4,BR,-5308.21710286194,205623,92.032670051641
314,2009-Q1,BR,-4937.059,192729,87.4870020800745
315,2009-Q2,BR,-2239.9657,198602.239988515,91.7013319484912
316,2009-Q3,BR,-4879.2164,209085.289300231,95.8742273898272
317,2009-Q4,BR,-12249.3712,228924,96.9327885890952
318,2010-Q1,BR,-21428.199712445,309807,95.5437616834284
319,2010-Q2,BR,-17512.267138785,381327,99.5122111005542
320,2010-Q3,BR,-21832.16772697,421226.962529458,102.496412501935
321,2010-Q4,BR,-18241.56306791,530561,102.447614714083
322,2011-Q1,BR,-20440.80592312,521031.344883062,100.50737371141
323,2011-Q2,BR,-17221.652811805,538893.333539844,104.189786695947
324,2011-Q3,BR,-18744.631731725,556132.26982194,106.122067490846
325,2011-Q4,BR,-19880.802732515,587671,105.078464483427
326,2012-Q1,BR,-22499.230452195,532572.044651093,102.223225510625
327,2012-Q2,BR,-19394.19650992,531437.1951864,105.21758133194
328,2012-Q3,BR,-16871.43070071,508562.066258682,108.759639446082
329,2012-Q4,BR,-25035.196482735,508029.545992577,107.687372699012
330,2013-Q1,BR,-25418.11303912,488292.405897236,105.004875203591
331,2013-Q2,BR,-16606.810871055,504917.630908454,109.449348559149
332,2013-Q3,BR,-21194.941492235,539429.680184969,111.760314420967
333,2013-Q4,BR,-16572.28871897,574550.390081084,110.410358049211
334,2014-Q1,BR,-29037.51436536,573520.827934804,108.647642172612
335,2014-Q2,BR,-19539.44085035,573469.795740306,108.972608702436
336,2014-Q3,BR,-24331.79920375,538873.826737502,111.046204674929
337,2014-Q4,BR,-28522.348969955,548460.603395905,110.158836919949
338,2015-Q1,BR,-25173.76946388,524322.324718803,106.888802199221
339,2015-Q2,BR,-12211.561196605,513879.598501479,105.987704798257
340,2015-Q3,BR,-10468.872685655,554806.837637541,106.313540069291
341,2015-Q4,BR,-6618.03788503501,594427.0683664,104.075538780112
342,2016-Q1,BR,-8340.831419945,578867,101.39416204532
343,2016-Q2,BR,-1878.92446706,583845,102.559528761875
344,2016-Q3,BR,-6099.442589925,613603,103.66284127751
345,2016-Q4,BR,-7910.83834469,642501,101.658203191239
346,2017-Q1,BR,-6280.351118595,630459.572640439,101.53668788147
347,2017-Q2,BR,2733.87399148,659404.674441529,103.156475670393
348,2017-Q3,BR,-4293.89282226,676510.826831217,105.067435075921
349,2017-Q4,BR,-7174.151965015,704436.065935259,103.868252009767
350,2018-Q1,BR,-10572.27168552,680258.963469761,102.774158698787
351,2018-Q2,BR,-303.595528340004,659934.943892641,104.090386418449
352,2018-Q3,BR,-7690.25212045,679536.165208609,106.401605683823
353,2018-Q4,BR,-3380.34951455999,715836.635292526,104.985329804042
354,2019-Q1,BR,-11392.66163749,699712.412022166,
355,2019-Q2,BR,-5016.34310869,709204.783976138,
356,2019-Q3,BR,-17646.14237045,697377.368303835,
357,1990-Q1,CH,,,73.4408341970344
358,1990-Q2,CH,,,74.294556458594
359,1990-Q3,CH,,,74.3713664566486
360,1990-Q4,CH,,,73.9622527016533
361,1991-Q1,CH,,,73.0347313638125
362,1991-Q2,CH,,,73.1913409746175
363,1991-Q3,CH,,,73.6024657679432
364,1991-Q4,CH,,,73.5290226527668
365,1992-Q1,CH,,,73.2739128686907
366,1992-Q2,CH,,,73.657151694693
367,1992-Q3,CH,,,73.4847396603955
368,1992-Q4,CH,,,72.8134624938336
369,1993-Q1,CH,,,71.9911345944252
370,1993-Q2,CH,,,73.0003305395853
371,1993-Q3,CH,,,73.7146361432353
372,1993-Q4,CH,,,74.1537448122412
373,1994-Q1,CH,,,73.5049335040304
374,1994-Q2,CH,,,73.4161242956246
375,1994-Q3,CH,,,74.6123547407292
376,1994-Q4,CH,,,75.0450439849655
377,1995-Q1,CH,,,73.4343513010754
378,1995-Q2,CH,,,74.1896988489
379,1995-Q3,CH,,,75.1179837686433
380,1995-Q4,CH,,,75.2625688852153
381,1996-Q1,CH,,,74.4005673513885
382,1996-Q2,CH,,,74.8017135799641
383,1996-Q3,CH,,,74.9116292386203
384,1996-Q4,CH,,,75.4999997210833
385,1997-Q1,CH,,,74.5397453123458
386,1997-Q2,CH,,,76.3743104234193
387,1997-Q3,CH,,,77.3198198490074
388,1997-Q4,CH,,,78.3914488635258
389,1998-Q1,CH,,,77.5363443664964
390,1998-Q2,CH,,,79.2140775060489
391,1998-Q3,CH,,,79.529312609373
392,1998-Q4,CH,,,79.5133555307012
393,1999-Q1,CH,6555.04048573528,,78.2463667751883
394,1999-Q2,CH,7760.75598484333,,79.6213069969012
395,1999-Q3,CH,8214.51475688764,,80.4030131925358
396,1999-Q4,CH,5752.95896057388,,82.8742112008726
397,2000-Q1,CH,7161.18088998665,,82.1382218329852
398,2000-Q2,CH,9301.3942332545,,82.9111249974958
399,2000-Q3,CH,8038.90434989249,,83.7483013032452
400,2000-Q4,CH,8001.9193850318,,84.9901576870989
401,2001-Q1,CH,5449.73628897339,,83.8189164204479
402,2001-Q2,CH,4761.17477184289,,84.6334004324333
403,2001-Q3,CH,4367.36219494018,,84.6901866466467
404,2001-Q4,CH,8085.24214781976,,85.0260124633006
405,2002-Q1,CH,3766.62989982273,,83.5467687597911
406,2002-Q2,CH,5028.55346545413,,84.7909245032431
407,2002-Q3,CH,8099.57521684864,,85.2032137689893
408,2002-Q4,CH,8660.29304999762,,85.1775146176369
409,2003-Q1,CH,9839.09303793854,,83.1116153337448
410,2003-Q2,CH,11349.0021242254,,83.9599557662763
411,2003-Q3,CH,9602.31700187566,,85.2005550989143
412,2003-Q4,CH,13823.484861313,,86.5803485493857
413,2004-Q1,CH,15546.5859453895,,85.9290962789614
414,2004-Q2,CH,15174.6238497877,,86.8070522273362
415,2004-Q3,CH,13530.1215105869,,87.4832356061991
416,2004-Q4,CH,13365.165817371,,88.0403926734058
417,2005-Q1,CH,16252.3760810478,,87.4471722800204
418,2005-Q2,CH,14944.5029781472,,89.5621037501863
419,2005-Q3,CH,11672.1459137475,,90.4643970996176
420,2005-Q4,CH,12233.0335778673,,91.6352507989975
421,2006-Q1,CH,14772.1444349337,,91.4570764107543
422,2006-Q2,CH,14299.6358298167,,92.7104961470771
423,2006-Q3,CH,16172.7911508165,,93.7414444752374
424,2006-Q4,CH,16336.2037752597,,95.5234483032263
425,2007-Q1,CH,10446.3492452192,,95.2097146225553
426,2007-Q2,CH,15412.8820585789,,96.8010523411957
427,2007-Q3,CH,16350.5298247235,,97.8871874507248
428,2007-Q4,CH,5720.97619872115,,98.8895976005463
429,2008-Q1,CH,3067.02944294648,,97.9996714719004
430,2008-Q2,CH,11047.6844212427,,100.074923128589
431,2008-Q3,CH,-2128.96753351105,,100.292371662108
432,2008-Q4,CH,1202.0586493682,,98.7977983694494
433,2009-Q1,CH,-2466.59676404707,,95.6646744143171
434,2009-Q2,CH,14261.4565329257,,96.3239791970391
435,2009-Q3,CH,11905.8220728087,,97.9427283568912
436,2009-Q4,CH,17021.1845591783,,98.4079561824452
437,2010-Q1,CH,23661.8506253764,,97.7295144268148
438,2010-Q2,CH,16780.6882845626,,99.6837372140373
439,2010-Q3,CH,22532.4364007714,,100.847282030016
440,2010-Q4,CH,22847.0842497262,,101.739466329132
441,2011-Q1,CH,14326.1832524261,,100.290048088219
442,2011-Q2,CH,18523.8162748338,,101.746220075488
443,2011-Q3,CH,10932.1388974052,,101.900820144603
444,2011-Q4,CH,10879.1677706152,,102.834145687113
445,2012-Q1,CH,11686.8193015004,,101.264558216889
446,2012-Q2,CH,21815.262822512,,102.408159781777
447,2012-Q3,CH,16103.3056041159,,103.251615495015
448,2012-Q4,CH,21706.2959409949,,103.939117103305
449,2013-Q1,CH,15183.9719178325,,102.176946924156
450,2013-Q2,CH,26454.9154800468,,104.649349580951
451,2013-Q3,CH,22759.1512715996,,105.484686123609
452,2013-Q4,CH,15275.1813024057,,106.161822449375
453,2014-Q1,CH,11076.9387149895,,104.925127492999
454,2014-Q2,CH,14161.1322754257,,106.681564977029
455,2014-Q3,CH,12336.6889234092,,107.832629907707
456,2014-Q4,CH,23087.0994663282,,109.282794345719
457,2015-Q1,CH,13554.6542486285,,107.028972009907
458,2015-Q2,CH,22389.754470858,,108.193284997571
459,2015-Q3,CH,23568.428203189,,109.210002764194
460,2015-Q4,CH,17041.6625946737,,110.006305106823
461,2016-Q1,CH,6014.56333712427,,108.135640179287
462,2016-Q2,CH,19112.1184308449,,110.715342685193
463,2016-Q3,CH,16293.1011873796,,111.263279608838
464,2016-Q4,CH,22151.590127392,,111.808552177412
465,2017-Q1,CH,5371.50349868917,,109.959806008886
466,2017-Q2,CH,17113.9559931623,,112.414549906999
467,2017-Q3,CH,8662.20072350718,,113.129537037538
468,2017-Q4,CH,13208.2676639443,,114.370920501639
469,2018-Q1,CH,19416.9390308541,,113.672560213125
470,2018-Q2,CH,22057.7893775761,,116.706269290578
471,2018-Q3,CH,17105.4024813254,,115.957166473271
472,2018-Q4,CH,15519.8322569566,,115.912865875345
473,2019-Q1,CH,20617.3467097459,,114.80720654428
474,2019-Q2,CH,21221.9146017969,,116.997851989338
475,1990-Q1,CL,,,35.6110285991847
476,1990-Q2,CL,,,33.8068609026512
477,1990-Q3,CL,,,31.6626381457383
478,1990-Q4,CL,,,33.2894965549732
479,1991-Q1,CL,73.575,,36.5910991671058
480,1991-Q2,CL,264.475,,36.1872762913856
481,1991-Q3,CL,-276.725,,34.7044947882403
482,1991-Q4,CL,-159.025,,37.5963112750038
483,1992-Q1,CL,-22.3,,41.3479444561158
484,1992-Q2,CL,45.5,,40.0775025861965
485,1992-Q3,CL,-509.7,,39.8516782175836
486,1992-Q4,CL,-470.4,,41.6149122506981
487,1993-Q1,CL,-397.9,,44.7607811521512
488,1993-Q2,CL,-568,,43.2870494047544
489,1993-Q3,CL,-842.9,,42.6510193856715
490,1993-Q4,CL,-743.4,,43.5732554218221
491,1994-Q1,CL,-315.9,,46.9775517854458
492,1994-Q2,CL,-547.6,,46.0575332391144
493,1994-Q3,CL,-610.8,,44.9037792794098
494,1994-Q4,CL,-112.7,,46.280900389279
495,1995-Q1,CL,339.5,,51.1580894500976
496,1995-Q2,CL,-189.6,,50.8839897287996
497,1995-Q3,CL,-916,,50.0602521931308
498,1995-Q4,CL,-583.5,,51.6955310704628
499,1996-Q1,CL,-150.489644891444,,55.7308531180369
500,1996-Q2,CL,-254.192869789304,,55.848489467779
501,1996-Q3,CL,-1200.35903229786,,54.3612541231167
502,1996-Q4,CL,-1477.61076061521,,59.0820698368288
503,1997-Q1,CL,445.95083641995,,58.8429527030531
504,1997-Q2,CL,-601.792538343024,,59.6489434662542
505,1997-Q3,CL,-1533.39710854712,,58.7870464764944
506,1997-Q4,CL,-1970.95299792697,2393771.14627339,64.4581596131805
507,1998-Q1,CL,-783.36795493667,2350736.81971712,63.4800457249332
508,1998-Q2,CL,-1058.5192719767,2579251.80902918,63.8715287671363
509,1998-Q3,CL,-1506.20400800186,2380835,61.2136883928247
510,1998-Q4,CL,-570.33922150539,2454053,63.6259525377981
511,1999-Q1,CL,491.67458801983,2294789,61.8735068091511
512,1999-Q2,CL,-57.827324471349,2245443,61.580633816875
513,1999-Q3,CL,-344.02972001556,1925776,60.7192486773488
